row_id,name,address,telephone,description,identifier,page_url,geo.latitude,geo.longitude
0,Swarthmore College,"500 College Ave Swarthmore, Pennsylvania 19081",(610) 328-8000,"Swarthmore College is a private school in Pennsylvania with 1,500 total undergraduate students",216287,https://www.collegevine.com/schools/swarthmore-college,3.9905159E1,-7.5354278E1
1,Duke University,"103 Allen Bldg Durham, North Carolina 27708",(919) 684-8111,"Duke University is a private school in North Carolina with 6,600 total undergraduate students",198419,https://www.collegevine.com/schools/duke-university,3.6001135E1,-7.8937624E1
2,Coe College,"1220 First Ave NE Cedar Rapids, Iowa 52402",(319) 399-8000,"Coe College is a private school in Iowa with 1,400 total undergraduate students",153144,https://www.collegevine.com/schools/coe-college.html,4.1988263E1,-9.1658192E1
3,College of Wooster,"1189 Beall Avenue Wooster, Ohio 44691",(330) 263-2000,"College of Wooster is a private school in Ohio with 2,000 total undergraduate students",206589,https://www.collegevine.com/schools/college-of-wooster.html,4.081046E1,-8.1934674E1
4,"University of California, Los Angeles | UCLA","405 Hilgard Ave Los Angeles, California 90095",(310) 825-4321,"University of California, Los Angeles | UCLA is a public school in California with 31,500 total undergraduate students",110662,https://www.collegevine.com/schools/university-of-california-los-angeles-ucla,3.4068892E1,-1.18443901E2
5,Eckerd College,"4200 54th Ave S Saint Petersburg, Florida 33711",(727) 867-1166,"Eckerd College is a private school in Florida with 2,000 total undergraduate students",133492,https://www.collegevine.com/schools/eckerd-college.html,2.7715798E1,-8.2687043E1
6,Georgia Southern University,"1332 Southern Drive Statesboro, Georgia 30460",(912) 478-5391,"Georgia Southern University is a public school in Georgia with 23,100 total undergraduate students",139931,https://www.collegevine.com/schools/georgia-southern-university.html,3.2426153E1,-8.1784045E1
7,Case Western Reserve University,"10900 Euclid Ave Cleveland, Ohio 44106",(216) 368-2000,"Case Western Reserve University is a private school in Ohio with 5,200 total undergraduate students",201645,https://www.collegevine.com/schools/case-western-reserve-university,4.1507419E1,-8.1609596E1
8,Curry College,"1071 Blue Hill Ave Milton, Massachusetts 02186",(617) 333-0500,"Curry College is a private school in Massachusetts with 2,300 total undergraduate students",165529,https://www.collegevine.com/schools/curry-college.html,4.2238061E1,-7.1116539E1
9,Harvard University,"Massachusetts Hall Cambridge, Massachusetts 02138",(617) 495-1000,"Harvard University is a private school in Massachusetts with 9,900 total undergraduate students",166027,https://www.collegevine.com/schools/harvard-university,4.2374471E1,-7.1118313E1
10,University of Rochester,"Wilson Blvd. - Wallis Hall Rochester, New York 14627",(585) 275-3221,"University of Rochester is a private school in New York with 6,500 total undergraduate students",195030,https://www.collegevine.com/schools/university-of-rochester,4.3126397E1,-7.7631202E1
11,Wellesley College,"106 Central St Wellesley, Massachusetts 02481",(781) 283-1000,"Wellesley College is a private school in Massachusetts with 2,500 total undergraduate students",168218,https://www.collegevine.com/schools/wellesley-college,4.2291554E1,-7.1306605E1
12,Appalachian State University,"287 Rivers St Boone, North Carolina 28608",(828) 262-2000,"Appalachian State University is a public school in North Carolina with 17,300 total undergraduate students",197869,https://www.collegevine.com/schools/appalachian-state-university.html,3.6215536E1,-8.1680583E1
13,Nova Southeastern University | NSU,"3301 College Ave Fort Lauderdale, Florida 33314",(954) 262-7300,"Nova Southeastern University | NSU is a private school in Florida with 4,900 total undergraduate students",136215,https://www.collegevine.com/schools/nova-southeastern-university-nsu,2.6079337E1,-8.024248E1
14,Boston College | BC,"140 Commonwealth Avenue Chestnut Hill, Massachusetts 02467",(617) 552-8000,"Boston College | BC is a private school in Massachusetts with 9,900 total undergraduate students",164924,https://www.collegevine.com/schools/boston-college-bc,4.2336213E1,-7.1169242E1
15,Yale University,"Woodbridge Hall New Haven, Connecticut 06520",(203) 432-4771,"Yale University is a private school in Connecticut with 5,900 total undergraduate students",130794,https://www.collegevine.com/schools/yale-university,4.1311158E1,-7.2926688E1
16,University of Southern California | USC,"University Park Los Angeles, California 90089",(213) 740-2311,"University of Southern California | USC is a private school in California with 19,900 total undergraduate students",123961,https://www.collegevine.com/schools/university-of-southern-california-usc,3.4021281E1,-1.18284169E2
17,Edgewood College,"1000 Edgewood College Drive Madison, Wisconsin 53711",(608) 663-4861,"Edgewood College is a private school in Wisconsin with 1,400 total undergraduate students",238661,https://www.collegevine.com/schools/edgewood-college.html,4.3057059E1,-8.9422884E1
18,Carroll College,"1601 N Benton Ave Helena, Montana 59625",(406) 447-4300,"Carroll College is a private school in Montana with 1,300 total undergraduate students",180106,https://www.collegevine.com/schools/carroll-college.html,4.6600771E1,-1.12040285E2
19,Boston University | BU,"One Silber Way Boston, Massachusetts 02215",(617) 353-2000,"Boston University | BU is a private school in Massachusetts with 18,500 total undergraduate students",164988,https://www.collegevine.com/schools/boston-university-bu,4.2351118E1,-7.1107942E1
20,California Polytechnic State University | Cal Poly,"1 Grand Ave. San Luis Obispo, California 93407",(805) 756-1111,"California Polytechnic State University | Cal Poly is a public school in California with 21,000 total undergraduate students",110422,https://www.collegevine.com/schools/california-polytechnic-state-university-cal-poly,3.5299513E1,-1.20657311E2
21,"University of California, Santa Cruz | UCSC","1156 High St Santa Cruz, California 95064",(831) 459-0111,"University of California, Santa Cruz | UCSC is a public school in California with 17,700 total undergraduate students",110714,https://www.collegevine.com/schools/university-of-california-santa-cruz-ucsc,3.6995584E1,-1.22058801E2
22,Antioch College,"1 Morgan Pl Yellow Springs, Ohio 45387",(937) 319-6082,Antioch College is a private school in Ohio with fewer than 200 total undergraduate students,483018,https://www.collegevine.com/schools/antioch-college.html,3.9799806E1,-8.3888077E1
23,University of Washington,"1400 NE Campus Parkway Seattle, Washington 98195",(206) 543-2100,"University of Washington is a public school in Washington with 32,000 total undergraduate students",236948,https://www.collegevine.com/schools/university-of-washington,4.765538E1,-1.2230514E2
24,Goshen College,"1700 S Main St Goshen, Indiana 46526",(574) 535-7000,Goshen College is a private school in Indiana with 800 total undergraduate students,150668,https://www.collegevine.com/schools/goshen-college.html,4.1563582E1,-8.5827795E1
25,Georgia State University,"33 gilmer st Atlanta, Georgia 30303",(404) 413-2000,"Georgia State University is a public school in Georgia with 27,200 total undergraduate students",139940,https://www.collegevine.com/schools/georgia-state-university.html,3.37527E1,-8.438667E1
26,Bucknell University,"One Dent Drive Lewisburg, Pennsylvania 17837",(570) 577-2000,"Bucknell University is a private school in Pennsylvania with 3,500 total undergraduate students",211291,https://www.collegevine.com/schools/bucknell-university.html,4.0954317E1,-7.6882616E1
27,Northern Illinois University | NIU,"1425 W. Lincoln Hwy. Dekalb, Illinois 60115",(800) 892-3050,"Northern Illinois University | NIU is a public school in Illinois with 12,700 total undergraduate students",147703,https://www.collegevine.com/schools/northern-illinois-university-niu,4.1933869E1,-8.8766428E1
28,Coker College,"300 E College Ave Hartsville, South Carolina 29550",(843) 383-8000,"Coker College is a private school in South Carolina with 1,100 total undergraduate students",217907,https://www.collegevine.com/schools/coker-college.html,3.437696E1,-8.0070416E1
29,Cornell College,"600 First St. SW Mount Vernon, Iowa 52314",(319) 895-4000,"Cornell College is a private school in Iowa with 1,000 total undergraduate students",153162,https://www.collegevine.com/schools/cornell-college.html,4.1924554E1,-9.1423741E1
30,Caldwell University,"120 Bloomfield Avenue Caldwell, New Jersey 07006",(973) 618-3000,"Caldwell University is a private school in New Jersey with 1,600 total undergraduate students",183910,https://www.collegevine.com/schools/caldwell-university.html,4.0832753E1,-7.4272571E1
31,Hollins University,"7916 Williamson Rd NW Roanoke, Virginia 24020",(540) 362-6000,Hollins University is a private school in Virginia with 600 total undergraduate students,232308,https://www.collegevine.com/schools/hollins-university.html,3.7354201E1,-7.9943277E1
32,Calvin College,"3201 Burton Street SE Grand Rapids, Michigan 49546",(616) 526-6000,"Calvin College is a private school in Michigan with 3,600 total undergraduate students",169080,https://www.collegevine.com/schools/calvin-college.html,4.2929916E1,-8.5587548E1
33,Augustana College,"639 38th St Rock Island, Illinois 61201",(309) 794-7000,"Augustana College is a private school in Illinois with 2,500 total undergraduate students",143084,https://www.collegevine.com/schools/augustana-college.html,4.1502365E1,-9.055057E1
34,Bowdoin College,"255 Maine Street Brunswick, Maine 04011",(207) 725-3000,"Bowdoin College is a private school in Maine with 1,800 total undergraduate students",161004,https://www.collegevine.com/schools/bowdoin-college.html,4.3907134E1,-6.9963942E1
35,Emerson College,"120 Boylston Street Boston, Massachusetts 02116",(617) 824-8500,"Emerson College is a private school in Massachusetts with 3,800 total undergraduate students",165662,https://www.collegevine.com/schools/emerson-college.html,4.2352202E1,-7.1065384E1
36,Haverford College,"370 Lancaster Ave Haverford, Pennsylvania 19041",(610) 896-1000,"Haverford College is a private school in Pennsylvania with 1,300 total undergraduate students",212911,https://www.collegevine.com/schools/haverford-college.html,4.0007452E1,-7.5305207E1
37,Cooper Union,"7 East 7th Street New York, New York 10003",(212) 353-4100,Cooper Union is a private school in New York with 800 total undergraduate students,190372,https://www.collegevine.com/schools/cooper-union.html,4.0728148E1,-7.3991609E1
38,Catawba College,"2300 W Innes St Salisbury, North Carolina 28144",(704) 637-4111,"Catawba College is a private school in North Carolina with 1,200 total undergraduate students",198215,https://www.collegevine.com/schools/catawba-college.html,3.5691443E1,-8.0482751E1
39,Clemson University,"201 Sikes Hall Clemson, South Carolina 29634",(864) 656-4636,"Clemson University is a public school in South Carolina with 19,600 total undergraduate students",217882,https://www.collegevine.com/schools/clemson-university.html,3.4679381E1,-8.2835114E1
40,Fisk University,"1000 17th Ave North Nashville, Tennessee 37208",(615) 329-8500,Fisk University is a private school in Tennessee with 700 total undergraduate students,220181,https://www.collegevine.com/schools/fisk-university.html,3.6167087E1,-8.6804805E1
41,Hofstra University,"100 Hofstra University Hempstead, New York 11549",(516) 463-6600,"Hofstra University is a private school in New York with 6,700 total undergraduate students",191649,https://www.collegevine.com/schools/hofstra-university.html,4.0715959E1,-7.360078E1
42,Brooklyn College,"2900 Bedford Ave Brooklyn, New York 11210",(718) 951-5000,"Brooklyn College is a public school in New York with 14,900 total undergraduate students",190549,https://www.collegevine.com/schools/brooklyn-college.html,4.0631517E1,-7.3949898E1
43,Cazenovia College,"22 Sullivan St Cazenovia, New York 13035",(800) 654-3210,Cazenovia College is a private school in New York with 800 total undergraduate students,189848,https://www.collegevine.com/schools/cazenovia-college.html,4.2932489E1,-7.5854882E1
44,University of North Carolina at Chapel Hill | UNC,"103 South Bldg Cb 9100 Chapel Hill, North Carolina 27599",(919) 962-2211,"University of North Carolina at Chapel Hill | UNC is a public school in North Carolina with 19,100 total undergraduate students",199120,https://www.collegevine.com/schools/university-of-north-carolina-at-chapel-hill-unc,3.5911769E1,-7.9050969E1
45,Auburn University,"1161 West Samford Avenue Auburn, Alabama 36849",(334) 844-4000,"Auburn University is a public school in Alabama with 24,600 total undergraduate students",100858,https://www.collegevine.com/schools/auburn-university.html,3.2599378E1,-8.5488258E1
46,Carthage College,"2001 Alford Park Dr Kenosha, Wisconsin 53140",(262) 551-8500,"Carthage College is a private school in Wisconsin with 2,700 total undergraduate students",238476,https://www.collegevine.com/schools/carthage-college.html,4.2622969E1,-8.7820924E1
47,Endicott College,"376 Hale Street Beverly, Massachusetts 01915",(978) 927-0585,"Endicott College is a private school in Massachusetts with 3,100 total undergraduate students",165699,https://www.collegevine.com/schools/endicott-college.html,4.2553296E1,-7.0840847E1
48,New York University | NYU,"70 Washington Sq South New York, New York 10012",(212) 998-1212,"New York University | NYU is a private school in New York with 26,700 total undergraduate students",193900,https://www.collegevine.com/schools/new-york-university-nyu,4.0729452E1,-7.3997264E1
49,Hamilton College,"198 College Hill Rd Clinton, New York 13323",(315) 859-4011,"Hamilton College is a private school in New York with 2,000 total undergraduate students",191515,https://www.collegevine.com/schools/hamilton-college.html,4.3050245E1,-7.5408195E1
50,Brown University,"One Prospect Street Providence, Rhode Island 02912",(401) 863-1000,"Brown University is a private school in Rhode Island with 7,000 total undergraduate students",217156,https://www.collegevine.com/schools/brown-university.html,4.182617E1,-7.140385E1
51,University of Wisconsin-Madison | Wisconsin,"500 Lincoln Dr Madison, Wisconsin 53706",(608) 263-2400,"University of Wisconsin-Madison | Wisconsin is a public school in Wisconsin with 31,700 total undergraduate students",240444,https://www.collegevine.com/schools/university-of-wisconsin-madison-wisconsin,4.3075409E1,-8.9404098E1
52,Furman University,"3300 Poinsett Highway Greenville, South Carolina 29613",(864) 294-2000,"Furman University is a private school in South Carolina with 2,700 total undergraduate students",218070,https://www.collegevine.com/schools/furman-university.html,3.4924676E1,-8.2440458E1
53,Creighton University,"2500 California Plaza Omaha, Nebraska 68178",(402) 280-2700,"Creighton University is a private school in Nebraska with 4,400 total undergraduate students",181002,https://www.collegevine.com/schools/creighton-university.html,4.1265361E1,-9.5947811E1
54,Connecticut College,"270 Mohegan Avenue New London, Connecticut 06320",(860) 447-1911,"Connecticut College is a private school in Connecticut with 1,800 total undergraduate students",128902,https://www.collegevine.com/schools/connecticut-college.html,4.1379833E1,-7.2107321E1
55,College of the Ozarks,"100 Opportunity Avenue Point Lookout, Missouri 65726",(417) 334-6411,"College of the Ozarks is a private school in Missouri with 1,500 total undergraduate students",178697,https://www.collegevine.com/schools/college-of-the-ozarks.html,3.6616019E1,-9.3238174E1
56,Wofford College,"429 N Church St Spartanburg, South Carolina 29303",(864) 597-4000,"Wofford College is a private school in South Carolina with 1,600 total undergraduate students",218973,https://www.collegevine.com/schools/wofford-college,3.4959411E1,-8.1933568E1
57,Drew University,"36 Madison Ave Madison, New Jersey 07940",(973) 408-3000,"Drew University is a private school in New Jersey with 1,600 total undergraduate students",184348,https://www.collegevine.com/schools/drew-university.html,4.0761829E1,-7.4424584E1
58,Bard College,"Annandale Road Annandale-On-Hudson, New York 12504",(845) 758-6822,"Bard College is a private school in New York with 1,800 total undergraduate students",189088,https://www.collegevine.com/schools/bard-college.html,4.2020386E1,-7.3909927E1
59,"University of California, Berkeley | UC Berkeley","200 California Hall Berkeley, California 94720",(510) 642-6000,"University of California, Berkeley | UC Berkeley is a public school in California with 30,800 total undergraduate students",110635,https://www.collegevine.com/schools/university-of-california-berkeley-uc-berkeley,3.7871918E1,-1.22260463E2
60,Elmhurst College,"190 Prospect Ave Elmhurst, Illinois 60126",(630) 279-4100,"Elmhurst College is a private school in Illinois with 2,800 total undergraduate students",144962,https://www.collegevine.com/schools/elmhurst-college.html,4.1897164E1,-8.7945369E1
61,Bradley University,"1501 W Bradley Ave Peoria, Illinois 61625",(309) 676-7611,"Bradley University is a private school in Illinois with 4,600 total undergraduate students",143358,https://www.collegevine.com/schools/bradley-university.html,4.0696896E1,-8.9616786E1
62,University of Michigan,"503 Thompson Street Ann Arbor, Michigan 48109",(734) 764-1817,"University of Michigan is a public school in Michigan with 30,300 total undergraduate students",170976,https://www.collegevine.com/schools/university-of-michigan,4.2275921E1,-8.3742769E1
